                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0763,                 0.7999,                 1.2169,                 0.9211,                0.88901,                0.94365,                0.64194,                 1.1942,                0.67002,                 1.2941,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.0651,                   0.79,                 1.2101,                0.91551,                0.89336,                0.94185,                  0.665,                 1.1393,                0.66099,                 1.2778,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.0577,                0.77467,                  1.208,                0.90408,                0.91771,                 0.9447,                 0.6545,                 1.1798,                0.65954,                 1.2704,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.0578,                0.76885,                  1.205,                0.90522,                0.89215,                0.94416,                0.62808,                 1.3044,                0.66405,                 1.3123,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.0486,                0.76508,                 1.2013,                0.92798,                0.91522,                 0.9532,                0.64778,                 1.2461,                0.64916,                 1.3165,             0.00079213,             0.00079213,             0.00079213
                     40,                 1.0485,                0.77035,                 1.1978,                0.91925,                0.91576,                0.94886,                 0.6382,                 1.2458,                0.63347,                    1.3,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.0425,                0.74723,                 1.1904,                0.96234,                0.91612,                0.96308,                0.65995,                 1.2022,                 0.6104,                 1.3285,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.0162,                 0.7269,                 1.1785,                0.95117,                0.91209,                0.95976,                 0.6576,                 1.2014,                0.61066,                   1.28,               0.000755,               0.000755,               0.000755
                     43,                 1.0281,                0.74294,                 1.1863,                0.93949,                0.90859,                0.95872,                 0.6717,                 1.1891,                0.61745,                 1.2853,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.0043,                0.72804,                 1.1746,                0.94504,                0.90698,                0.95427,                0.69254,                 1.1085,                0.59757,                 1.2533,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.0134,                0.71812,                 1.1842,                0.95497,                0.92059,                0.95832,                0.67116,                 1.1973,                0.60415,                 1.2704,             0.00071788,             0.00071788,             0.00071788
